node0;node1;ref;name;distance
253390851;2281462072;BR-116;Pista Marginal;7029.665128172836
253390851;4951315298;CE-025;Avenida Manoel Mavignier;8569.203626645907
253390851;2504480932;BR-116;Pista Marginal;5308.04020535
253390851;253406570;BR-116;Rodovia Santos Dumont;6530.35740862
253390851;2527380021;BR-116;Rodovia Santos Dumont;12639.1524438
4042766342;2386620667;CE-240;Rodovia José Euclides Ferreira Gomes Junior;8369.91866023
1701738839;1542805331;CE-232;;8822.13515179
1701738839;4472035011;CE-179;;10128.9463951
1701738839;1563447039;CE-179;;10875.668347
4228147214;621999832;CE-040;Avenida Washington Soares;1589.41933905
4228147215;1781280672;CE-522;Avenida Washington Soares;1514.99560987
4755871761;1942619072;CE-265;Rua Major Ventura;1963.496798328248
4755871761;4755871937;CE-265;Avenida Raul Barbosa;1090.3365778489217
4755871761;1945044347;CE-265;Rua Francisco Santiago da Silva;37520.3109063
4755871761;1942619031;CE-265;Rua Major Ventura;301.702718458
2442323986;3797251715;BR-403;CE-187;CE-257;;16014.8562572
2442323986;4133569773;CE-257;;34698.0692915
2442323986;351971094;BR-403;CE-187;;7834.88476578
3793516567;1645637349;BR-226;;45824.9422124
3793516567;5261011887;BR-226;Avenida Sete de Setembro;1303.67133516
4942706713;3303362655;CE-282;;10748.9582948
4942706713;1633016939;CE-153;Avenida Brasil;9595.529929993014
4942706713;2249121383;CE-153;;18747.5707646
4399517724;4009715984;CE-138;CE 138;17440.7157268
3444746273;4700318099;BR-404;CE-189;;33250.3206119
3444746273;1645636828;BR-404;CE-189;;2038.98650668
3083915303;3008577348;CE-350;;3603.29865277
3083915303;1656132612;BR-116;CE-350;;15143.3908701
3083915303;1650365702;CE-350;Avenida Coronel Virgílio Távora;1875.19849592
5522540592;1560731330;CE-166;;49524.822976619726
5522540592;2335007498;BR-230;;42008.6265467
5522540592;1697636876;CE-166;;7056.54865716
5522540592;4124931281;CE-489;;22139.15434610713
5522540592;1696388562;BR-230;CE-489;;2080.37342167
5522540592;1430325337;CE-386;;41963.9864074
5979203633;2516440280;CE-151;;15180.609266229802
5979203633;2873932595;CE-151;;9215.87996729
4456953911;1521255641;CE-187;Rodovia da Confiança;16315.3730374
4456953911;1519949796;CE-187;Rua Deputado Álvaro Soares;9032.89546304
4250898100;4436994928;CE-085;;12363.4492755
4250898100;3688606534;CE-313;;17656.7442506
4250898100;3865641510;CE-085;;24045.7278937
1438427197;4465628705;BR-402;CE-085;;22390.3406774
1438427197;5122785058;BR-402;CE-085;Avenida Maria Diamantina Veras;34457.0376691
1438427197;1449151665;CE-362;Avenida Antônio Zeferino Veras;3616.04681636
1511991358;1509216202;BR-403;Avenida José Giffone da Silveira;540.330393409
1511991358;5292639965;BR-403;Avenida José Giffone da Silveira;2098.72744382
2401878084;263985708;BR-222;;5229.11943224
2401878084;3841651893;BR-222;;37388.9817018
2109784133;3787923194;CE-065;;2591.82930803
1523978318;351938464;CE-162;;9925.64235942
3837249620;1944969322;CE-456;;43392.2880778
3837249620;252644826;CE-456;;13912.8264105
1430325337;4120405306;CE-386;;1057.28732753
4942772314;3036553692;CE-282;;29175.0007672
768763996;3789587805;CE-292;;39681.1199737
1514823773;1091928314;CE-163;Rua Padre José Romualdo;1257.4241029450218
1514823773;1529560613;CE-163;;6146.93981049
3303362655;3303362288;CE-282;;1375.8680199072917
3303362655;3036553692;CE-282;;2378.6828584761406
3303362655;3036552847;CE-282;Avenida do Cruzeiro;1660.57090536
252738576;3129834576;CE-060;Rodovia do Algodão;2270.28721657
252738576;3130195956;CE-356;;34282.4552689
252738576;252738708;CE-356;;9639.88542115
252738576;263910725;CE-060;Rodovia do Algodão;11955.8111966
4942626916;1633016459;CE-282;;16574.8090577
4942626916;1802252877;CE-482;;6124.63954183
4942626916;4753562551;CE-282;;17122.626580392003
595251302;4464024160;CE-085;Via Estruturante;14347.9451854
595251302;265206721;CE-090;;7180.55674788
595251302;5630724551;CE-085;;4368.76824778
