node;lat;lon;cidade;nomeCidade
253390851;-3.8094556;-38.5009222;0;
4042766342;-3.5306207;-40.5152439;0;
1701738839;-3.5083588;-40.2784881;0;
4228147214;-3.7526916;-38.4907458;0;
4228147215;-3.7526758;-38.4908643;0;
4755871761;-4.7880546;-40.0605373;0;
2442323986;-4.3993714;-40.7127445;0;
3793516567;-5.3946399;-40.3136406;1;Independência
4942706713;-6.4042969;-38.9543829;0;
4399517724;-5.3943432;-38.2308312;0;
3444746273;-4.9052861;-40.7639059;1;Ipaporanga
3083915303;-3.97553;-38.5143093;0;
5522540592;-6.9266567;-39.5736091;0;
5979203633;-6.7306865;-38.7130059;1;Baixio
4456953911;-3.8533442;-40.9205004;1;Ubajara
4250898100;-2.990294;-40.5741745;0;
1438427197;-2.929745;-40.8562292;0;
1511991358;-2.8885045;-40.1196563;1;Acaraú
2401878084;-3.6729382;-39.2373648;1;São Luís do Curu
2109784133;-3.8280576;-38.624565;0;
1523978318;-3.347373;-39.1377606;0;
3837249620;-4.839168;-39.1402356;1;Choró
1430325337;-7.2095026;-39.4158087;1;Crato
4942772314;-6.5122133;-38.6758937;0;
768763996;-7.0885751;-40.0169127;1;Potengi
1514823773;-3.2701479;-39.2693025;1;Trairi
3303362655;-6.4064583;-38.8665948;0;
252738576;-4.3800926;-38.8277994;0;
4942626916;-6.4174878;-39.4489161;0;
595251302;-3.7237961;-38.6430106;0;
1944969322;-4.5822061;-39.3584544;0;
1704817341;-3.8070061;-38.4790817;0;
351973490;-4.3516878;-38.2268537;0;
4119418996;-4.2895815;-38.6418179;1;Barreira
253406570;-3.7563511;-38.5232011;0;
2752346241;-4.1706806;-38.8688248;0;
3917170819;-4.561526;-38.919861;1;Itapiúna
1705021572;-3.868493;-38.6296494;1;Maracanaú
4911120522;-5.4010566;-38.5699293;0;
5055846544;-6.225355;-39.7154019;0;
351938705;-3.133145;-40.8161785;0;
3225950364;-3.7559666;-38.5222787;0;
3416275106;-3.9039336;-40.7447079;1;Mucambo
2504480932;-3.7659518;-38.5179439;0;
1647939752;-4.0429878;-38.2041358;0;
6123114675;-6.5715203;-39.0503945;0;
1523228861;-3.5979076;-38.8984616;0;
3834128757;-4.2237731;-38.7322915;0;
4755871937;-4.7857711;-40.0700988;0;
1701738691;-3.462681;-40.2099849;1;Santana do Acaraú
4224276680;-3.2354824;-40.1567157;0;
4941097163;-5.1827135;-39.2591856;0;
2125877460;-7.3351376;-39.3940372;0;
3558197461;-4.5715592;-37.6546333;0;
3699210454;-4.8205477;-38.827483;0;
3130196186;-4.6955235;-38.4025286;0;
6022238434;-3.4992012;-39.5835014;1;Itapipoca
3688667364;-2.8950557;-41.2753201;0;
1523228901;-3.598718;-38.8989475;0;
1502084241;-3.304436;-39.5117685;0;
3835132750;-3.7940945;-38.5918032;0;
4257849726;-7.316433;-38.9958341;0;
1091928314;-3.2790537;-39.2647061;0;
2386620667;-3.5392685;-40.4532003;1;Meruoca
4752126206;-7.258883;-38.7634027;0;
4134766846;-3.9480871;-40.4755615;1;Cariré
3796349185;-4.3255299;-40.1521094;1;Santa Quitéria
6045149443;-7.2644808;-39.1963078;0;
2348245252;-6.0046959;-40.2830325;0;
4381120773;-7.1688566;-39.7322885;1;Santana do Cariri
351934727;-3.501945;-40.6154776;0;
3016497416;-7.2875098;-40.4508022;1;Salitre
4942582027;-5.7597063;-39.4375532;0;
4942582029;-5.7831883;-39.4283182;0;
4009715984;-5.5143086;-38.2665687;0;
1701767443;-6.8914175;-38.5832202;0;
2338111764;-5.8282626;-39.1470233;0;
2014773526;-5.4553455;-39.7179817;0;
4644137250;-5.0663682;-37.3320357;0;
2493585700;-5.1492222;-38.0504174;0;
